,city_01,lng_gis,lat_gis
174,益阳市,886504.3628190245,3168561.6631178777
175,淄博市,1400890.2096839715,4100429.831030385
176,邯郸市,1086265.5293077477,4066917.934492319
177,呼和浩特市,796342.2205652574,4500825.216009828
178,信阳市,1150681.9484958004,3571735.075007017
179,佳木斯市,2328553.17305115,5530706.78119949
180,锡林郭勒盟,1097540.191103453,4923704.019283973
181,周口市,1138122.8975253429,3754124.100064203
182,河源市,1208939.2890955254,2677745.013477979
183,咸阳市,535872.7346066899,3850976.220870584
184,嘉兴市,1742104.430775915,3458466.21964852
185,抚顺市,1885525.932014289,4769537.957717859
186,湘潭市,954152.5978721244,3077225.5722939037
187,宜昌市,800250.0207757878,3407040.8266147175
188,晋中市,939716.4678089777,4144401.953744812
189,驻马店市,1075886.1555914143,3661046.9787438405
190,昌江黎族自治县,603084.050292559,2128223.859447283
191,大连市,1725213.867351349,4467394.922649521
192,绥化市,1918191.9263386813,5366634.07407902
193,嘉峪关市,-339804.69233597483,4455154.728587673
194,湛江市,727085.9955701175,2328369.321118891
195,四平市,1831637.364488088,4959897.793259757
196,黄石市,1179196.4468380616,3332850.36562123
197,铜仁市,553325.8259593525,3095303.568861471
198,洛阳市,871151.24072591,3803243.6728079314
199,东方市,584745.2570197954,2102322.4743205723
200,临高县,678855.7128162908,2194449.449710397
201,青岛市,1602927.3340946496,4097023.5498261526
202,南充市,328732.34511176834,3453989.6716716136
203,衡水市,1189974.1347741815,4209957.895472812
204,金华市,1667862.6634375118,3282033.468530118
205,扬州市,1578346.610148527,3682446.039244021
206,泉州市,1542196.7840831927,2822258.7888142564
207,揭阳市,1334807.2638205956,2602175.704306278
208,衡阳市,955127.97826781,2973009.7141293674
209,玉林市,724561.5183279245,2484283.5911621926
210,赣州市,1231087.8783932622,2864730.3387463526
211,资阳市,206376.75462663762,3344113.239153884
212,沧州市,1268594.5174048715,4274002.514114358
213,鹤岗市,2208476.7655408317,5536068.751832993
214,新余市,1175814.379707497,3100212.2833214886
215,淮南市,1319898.3501162846,3659700.2939323904
216,天门市,990523.3727348351,3402827.72339762
217,钦州市,603979.1919013971,2451639.1878854325
218,上海市,1792842.229586184,3533532.888065
219,果洛藏族自治州,-290642.8579796526,3807862.9100868893
220,三门峡市,785642.8173021694,3807997.780021723
221,盐城市,1637925.120234412,3779679.575623177
222,澄迈县,708023.117283353,2184635.6976755843
223,延边朝鲜族自治州,2221220.253001709,5000526.888038971
224,呼伦贝尔市,1449932.5955820256,5586056.388900226
225,哈密地区,-680646.6911819235,4868089.0759071205
226,辽阳市,1781123.8252431669,4674382.961345573
