,0,1,2
76,滁州市,1451124.3621716762,3647595.2109830854
77,芜湖市,1488341.7910792283,3485468.2954203705
78,蚌埠市,1372050.4568096031,3703777.6768428194
79,铜陵市,1445959.4853305425,3465069.840086863
80,阜阳市,1221656.5520909738,3669985.6187388054
81,马鞍山市,1511132.7021955433,3539478.792473926
82,黄山市,1475247.416489119,3352799.623130928
83,东营市,1440911.2816886234,4222420.714428324
84,临沂市,1436684.972840992,3957636.7149579204
85,威海市,1752164.273444509,4202811.169928975
86,德州市,1267760.9945628801,4159095.277613908
87,日照市,1524447.6625926124,3987122.2151873657
88,枣庄市,1359700.9167112357,3905742.8966148226
89,泰安市,1314982.6578803842,4023630.2786013247
90,济南市,1312670.6395903279,4106160.516093678
91,济宁市,1294597.821553914,3951402.4735245593
92,淄博市,1400890.2096839715,4100429.831030385
93,滨州市,1370537.628723025,4201717.8974854015
94,潍坊市,1493305.031335043,4104508.1770532685
95,烟台市,1637102.5937891111,4213200.803295676
96,聊城市,1206971.0904659713,4065155.587134652
97,莱芜市,1369325.9423452439,4059485.013035317
98,菏泽市,1201640.013204413,3918594.23201568
99,青岛市,1602927.3340946496,4097023.5498261526
100,临汾市,803848.8282074489,4015907.7384745376
101,吕梁市,787823.4298523071,4176560.2038261434
102,大同市,989635.387293882,4433999.079918384
103,太原市,879335.9594696403,4211786.086418246
104,忻州市,882587.9361580256,4314805.711594757
105,晋中市,939716.4678089775,4144401.953744812
106,晋城市,926622.549901901,3952565.099162747
107,朔州市,898632.1533037606,4397344.172969346
108,运城市,778960.0108449988,3899600.542812947
109,长治市,940894.2984696167,4049506.5072088465
110,阳泉市,982676.833164972,4228824.962218437
111,东莞市,1103301.5747437123,2549216.8340385235
112,中山市,1055848.6813999715,2501279.455658583
113,云浮市,889804.7656267782,2529155.378556278
114,佛山市,1007492.6459118036,2553871.793387898
115,广州市,1066901.3182744589,2591798.96156991
116,惠州市,1168040.1438286721,2581165.2527847583
117,揭阳市,1334807.2638205956,2602175.704306278
118,梅州市,1322712.46573633,2701671.5775045943
119,汕头市,1395339.141638328,2608836.0833932324
120,汕尾市,1275198.7912896154,2560529.6401174916
121,江门市,982282.9764384708,2460261.078089143
122,河源市,1208939.2890955254,2677745.013477979
123,深圳市,1126793.9184229996,2514052.7734944634
124,清远市,995599.5035568041,2698581.7308437196
125,湛江市,727085.9955701175,2328369.321118891
126,潮州市,1398673.1797434664,2658704.1908804025
127,珠海市,1081049.5682783108,2455502.8952190145
128,肇庆市,929722.2025719408,2610520.693249655
